Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
REF0009-mgg-pbdrep | M301580.lib1	47056778.0	0.0	47056778.0	1.0	23528389.0	23528389.0	40085405.0	39567132.0	6971373.0	34440228.0	47056778.0	0.0	814936.0	0.0	0.0	0.0	7027030439.0	3513548707.0	3513481732.0	5987302957.0	5987302957.0	0.0	0.0	41546123.0	0.006939038	149.0	149.0	149.0	150.0	150.0	150.0	39.0	288.4	114.1	18762223.0	398386.0	18919.0	604038.0	73.2	85.1851884121773	84.08381041302913	14.814811587822692	73.18866582833189	100.0	0.0	1.7318142776371133	0.0
REF0009-mgg-pbdrep | M301581.lib1	1673648.0	0.0	1673648.0	1.0	836824.0	836824.0	100799.0	99048.0	1572849.0	86216.0	1673648.0	0.0	2671.0	0.0	0.0	0.0	248021353.0	124011221.0	124010132.0	15068108.0	15068108.0	0.0	0.0	119490.0	0.007929994	148.0	148.0	148.0	150.0	150.0	150.0	38.9	296.7	110.9	47098.0	793.0	69.0	1564.0	5.2	6.022712063707542	5.91809030333738	93.97728793629246	5.151381891532748	100.0	0.0	0.15959150311176543	0.0
REF0009-mgg-pbdrep | M301582.lib1	46863704.0	0.0	46863704.0	1.0	23431852.0	23431852.0	39733985.0	39206010.0	7129719.0	34728778.0	46863704.0	0.0	832428.0	0.0	0.0	0.0	7001146204.0	3500610971.0	3500535233.0	5936809658.0	5936809658.0	0.0	0.0	41894546.0	0.007056744	149.0	149.0	149.0	150.0	150.0	150.0	39.1	286.7	109.3	18668138.0	375927.0	17445.0	541495.0	74.1	84.78626657423408	83.65964841362091	15.213733425765918	74.10591787623105	100.0	0.0	1.7762744489850824	0.0
REF0009-mgg-pbdrep | M301583.lib1	36462660.0	0.0	36462660.0	1.0	18231330.0	18231330.0	30521774.0	30088130.0	5940886.0	25715792.0	36462660.0	0.0	655461.0	0.0	0.0	0.0	5444526884.0	2722296132.0	2722230752.0	4558599656.0	4558599656.0	0.0	0.0	32634057.0	0.00715879	149.0	149.0	149.0	150.0	150.0	150.0	39.0	292.3	118.9	14214330.0	306185.0	14917.0	508633.0	70.5	83.70693196821077	82.51764956259362	16.293068031789232	70.52637410435771	100.0	0.0	1.7976225541416888	0.0
REF0009-mgg-pbdrep | M301584.lib1	45780766.0	0.0	45780766.0	1.0	22890383.0	22890383.0	38911255.0	38419234.0	6869511.0	34809164.0	45780766.0	0.0	786448.0	0.0	0.0	0.0	6829773595.0	3414918037.0	3414855558.0	5805757723.0	5805757723.0	0.0	0.0	39201934.0	0.006752251	149.0	149.0	149.0	150.0	150.0	150.0	39.1	279.1	105.5	18285493.0	469702.0	17944.0	436478.0	76.0	84.99476614261981	83.9200331423026	15.005233857380192	76.03447264294354	100.0	0.0	1.7178567960177864	0.0
REF0009-mgg-pbdrep | M301585.lib1	2711050.0	0.0	2711050.0	1.0	1355525.0	1355525.0	9192.0	8510.0	2701858.0	7670.0	2711050.0	0.0	1039.0	0.0	0.0	0.0	402948580.0	201474095.0	201474485.0	1369373.0	1369373.0	0.0	0.0	21448.0	0.01566264	149.0	149.0	149.0	150.0	150.0	150.0	38.8	279.5	107.0	3987.0	140.0	6.0	122.0	0.3	0.33905682300215784	0.31390051824938675	99.66094317699785	0.28291621327529926	100.0	0.0	0.038324634366758266	0.0
REF0009-mgg-pbdrep | M301586.lib1	540500.0	0.0	540500.0	1.0	270250.0	270250.0	31221.0	30772.0	509279.0	28706.0	540500.0	0.0	983.0	0.0	0.0	0.0	79652158.0	39825196.0	39826962.0	4658097.0	4658097.0	0.0	0.0	36768.0	0.007893352	147.0	147.0	147.0	150.0	150.0	150.0	39.0	273.1	95.5	14716.0	368.0	9.0	293.0	5.3	5.77631822386679	5.6932469935245145	94.2236817761332	5.311008325624422	100.0	0.0	0.1818686401480111	0.0
REF0009-mgg-pbdrep | M301587.lib1	43975378.0	0.0	43975378.0	1.0	21987689.0	21987689.0	37399284.0	36934956.0	6576094.0	34098188.0	43975378.0	0.0	761695.0	0.0	0.0	0.0	6569506874.0	3284781694.0	3284725180.0	5587741528.0	5587741528.0	0.0	0.0	37620460.0	0.006732677	149.0	149.0	149.0	150.0	150.0	150.0	39.2	276.8	98.8	17736406.0	360550.0	14146.0	356376.0	77.5	85.04596367540036	83.99008190446936	14.954036324599643	77.53927208994088	100.0	0.0	1.7320942642039372	0.0
REF0009-mgg-pbdrep | M301588.lib1	51068838.0	0.0	51068838.0	1.0	25534419.0	25534419.0	43442448.0	42927006.0	7626390.0	39615590.0	51068838.0	0.0	857572.0	0.0	0.0	0.0	7613047673.0	3806546698.0	3806500975.0	6477351643.0	6477351643.0	0.0	0.0	42309701.0	0.006531944	149.0	149.0	149.0	150.0	150.0	150.0	39.2	273.6	101.2	20455876.0	586976.0	14416.0	406235.0	77.6	85.06645089516233	84.05714263559317	14.93354910483767	77.57292225838387	100.0	0.0	1.6792471369722568	0.0
REF0009-mgg-pbdrep | M301589.lib1	51437248.0	0.0	51437248.0	1.0	25718624.0	25718624.0	44071198.0	43482334.0	7366050.0	37764378.0	51437248.0	0.0	875036.0	0.0	0.0	0.0	7689298186.0	3844690157.0	3844608029.0	6588812972.0	6588812972.0	0.0	0.0	45738193.0	0.006941796	149.0	149.0	149.0	150.0	150.0	150.0	39.1	297.0	111.3	20684500.0	342631.0	21734.0	692302.0	73.4	85.67954102054604	84.5347208310989	14.320458979453953	73.41834850884713	100.0	0.0	1.701171882290437	0.0
