Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
M301606.lib1_1	53.85449890010273	50.0	150.0	150	9.090909090909092	24703842.0
M301606.lib1_2	55.04586196328545	51.0	150.0	150	18.181818181818183	24703842.0
M301607.lib1_1	79.62330093652074	53.0	150.0	150	27.27272727272727	2013145.0
M301607.lib1_2	79.75880358510238	54.0	150.0	150	36.36363636363637	2013145.0
M301608.lib1_1	49.69488997923131	51.0	150.0	150	0.0	32372574.0
M301608.lib1_2	50.97645971862603	51.0	150.0	150	18.181818181818183	32372574.0
M301609.lib1_1	35.045015096845106	50.0	150.0	150	0.0	28806845.0
M301609.lib1_2	36.23306119867979	51.0	150.0	150	0.0	28806845.0
M301610.lib1_1	86.32674906368358	51.0	150.0	150	27.27272727272727	8730294.0
M301610.lib1_2	86.43086370191138	51.0	150.0	150	36.36363636363637	8730294.0
M301611.lib1_1	79.22510193465124	46.0	150.0	150	18.181818181818183	5895000.0
M301611.lib1_2	79.45283954641033	47.0	150.0	150	27.27272727272727	5895000.0
M301612.lib1_1	89.04660752837921	48.0	150.0	150	18.181818181818183	12455035.0
M301612.lib1_2	89.39484460485022	49.0	150.0	150	27.27272727272727	12455035.0
M301613.lib1_1	83.5194073075209	51.0	150.0	150	18.181818181818183	23920859.0
M301613.lib1_2	84.33388000867289	52.0	150.0	150	27.27272727272727	23920859.0
M301614.lib1_1	80.61337901236112	51.0	150.0	150	18.181818181818183	26474596.0
M301614.lib1_2	81.3240514225115	52.0	150.0	150	18.181818181818183	26474596.0
M301615.lib1_1	88.07322727225971	47.0	150.0	150	18.181818181818183	1798740.0
M301615.lib1_2	87.86462155242297	48.0	150.0	150	27.27272727272727	1798740.0
M301616.lib1_1	18.618266692348428	53.0	150.0	150	9.090909090909092	34279960.0
M301616.lib1_2	19.18143021854037	54.0	150.0	150	9.090909090909092	34279960.0
M301617.lib1_1	18.738965342104635	50.0	150.0	150	9.090909090909092	41347.0
M301617.lib1_2	19.39197523399521	51.0	150.0	150	18.181818181818183	41347.0
M301618.lib1_1	54.456151693477196	50.0	150.0	150	9.090909090909092	28665874.0
M301618.lib1_2	55.79632334815714	50.0	150.0	150	18.181818181818183	28665874.0
M301619.lib1_1	80.72315366809488	48.0	150.0	150	18.181818181818183	2625907.0
M301619.lib1_2	80.5049846138227	49.0	150.0	150	27.27272727272727	2625907.0
M301620.lib1_1	51.48254608769862	50.0	150.0	150	9.090909090909092	26765873.0
M301620.lib1_2	52.909206780771626	51.0	150.0	150	18.181818181818183	26765873.0
M301621.lib1_1	53.33896190051033	51.0	150.0	150	9.090909090909092	25560798.0
M301621.lib1_2	54.65334967608425	51.0	150.0	150	9.090909090909092	25560798.0
M301622.lib1_1	70.1565779721392	50.0	150.0	150	9.090909090909092	29284122.0
M301622.lib1_2	70.95182167196458	51.0	150.0	150	18.181818181818183	29284122.0
M301623.lib1_1	87.52811998347875	41.0	150.0	150	18.181818181818183	16501268.0
M301623.lib1_2	87.78351852323532	43.0	150.0	150	27.27272727272727	16501268.0
M301624.lib1_1	86.90351037712918	49.0	150.0	150	9.090909090909092	12588823.0
M301624.lib1_2	87.01794407397057	50.0	150.0	150	18.181818181818183	12588823.0
M301625.lib1_1	45.41881879454447	50.0	150.0	150	0.0	25129736.0
M301625.lib1_2	46.72158967447818	50.0	150.0	150	9.090909090909092	25129736.0
M301626.lib1_1	84.00177614390581	48.0	150.0	150	9.090909090909092	5528148.0
M301626.lib1_2	84.30022955040305	49.0	150.0	150	18.181818181818183	5528148.0
M301627.lib1_1	73.279618991501	50.0	150.0	150	9.090909090909092	25473708.0
M301627.lib1_2	74.29491284040871	51.0	150.0	150	9.090909090909092	25473708.0
M301628.lib1_1	82.84156150454517	49.0	150.0	150	18.181818181818183	2727166.0
M301628.lib1_2	82.78165862862029	50.0	150.0	150	27.27272727272727	2727166.0
M301629.lib1_1	56.344528086919446	50.0	150.0	150	9.090909090909092	30397009.0
M301629.lib1_2	57.65062782913735	51.0	150.0	150	18.181818181818183	30397009.0
M301630.lib1_1	82.20192147447521	48.0	150.0	150	18.181818181818183	4353791.0
M301630.lib1_2	82.30987172500579	49.0	150.0	150	27.27272727272727	4353791.0
M301631.lib1_1	46.9539625962611	50.0	150.0	150	0.0	22724965.0
M301631.lib1_2	48.09432023912776	51.0	150.0	150	9.090909090909092	22724965.0
M301632.lib1_1	43.156639059426205	50.0	150.0	150	0.0	23131731.0
M301632.lib1_2	44.198267378342095	51.0	150.0	150	9.090909090909092	23131731.0
M301633.lib1_1	85.59606458775369	49.0	150.0	150	9.090909090909092	4107876.0
M301633.lib1_2	85.14113306096422	50.0	150.0	150	18.181818181818183	4107876.0
M301634.lib1_1	55.65593744672832	50.0	150.0	150	9.090909090909092	30937186.0
M301634.lib1_2	56.872274991810635	51.0	150.0	150	18.181818181818183	30937186.0
M301635.lib1_1	82.39771334412954	48.0	150.0	150	18.181818181818183	3200220.0
M301635.lib1_2	82.39032933524211	50.0	150.0	150	27.27272727272727	3200220.0
M301636.lib1_1	73.36243456719617	50.0	150.0	150	9.090909090909092	42255327.0
M301636.lib1_2	74.83554206836065	50.0	150.0	150	18.181818181818183	42255327.0
M301637.lib1_1	82.38504544660867	48.0	150.0	150	18.181818181818183	1738797.0
M301637.lib1_2	82.51803007316973	49.0	150.0	150	27.27272727272727	1738797.0
M301638.lib1_1	56.31335535424495	50.0	150.0	150	9.090909090909092	26080395.0
M301638.lib1_2	57.37638205674831	51.0	150.0	150	18.181818181818183	26080395.0
M301639.lib1_1	50.98768368232195	50.0	150.0	150	9.090909090909092	26478964.0
M301639.lib1_2	52.0628351479336	51.0	150.0	150	18.181818181818183	26478964.0
M301640.lib1_1	66.1617166840488	50.0	150.0	150	9.090909090909092	23124696.0
M301640.lib1_2	66.76866667741456	51.0	150.0	150	18.181818181818183	23124696.0
M301641.lib1_1	57.570440329945164	50.0	150.0	150	9.090909090909092	29909816.0
M301641.lib1_2	58.63760500232397	51.0	150.0	150	18.181818181818183	29909816.0
M301642.lib1_1	67.61236215527475	50.0	150.0	150	9.090909090909092	26162190.0
M301642.lib1_2	68.69209064536528	50.0	150.0	150	18.181818181818183	26162190.0
M301643.lib1_1	63.12624972073097	48.0	150.0	150	9.090909090909092	26514304.0
M301643.lib1_2	64.22153270382805	49.0	150.0	150	18.181818181818183	26514304.0
M301644.lib1_1	74.41749883221934	48.0	150.0	150	18.181818181818183	1144255.0
M301644.lib1_2	74.78113590131056	49.0	150.0	150	27.27272727272727	1144255.0
M301645.lib1_1	64.68983162929302	50.0	150.0	150	9.090909090909092	27726285.0
M301645.lib1_2	65.84654733673699	51.0	150.0	150	18.181818181818183	27726285.0
M301646.lib1_1	67.9454121168921	50.0	150.0	150	9.090909090909092	28497304.0
M301646.lib1_2	68.87245360198196	51.0	150.0	150	18.181818181818183	28497304.0
M301647.lib1_1	65.32724230146238	50.0	150.0	150	9.090909090909092	26945921.0
M301647.lib1_2	66.36340160740384	50.0	150.0	150	18.181818181818183	26945921.0
M301648.lib1_1	22.346681600369195	50.0	150.0	150	0.0	21727100.0
M301648.lib1_2	23.460212044942267	51.0	150.0	150	9.090909090909092	21727100.0
M301649.lib1_1	85.09273722930546	50.0	150.0	150	18.181818181818183	4826191.0
M301649.lib1_2	85.35452351407558	51.0	150.0	150	27.27272727272727	4826191.0
M301650.lib1_1	71.66642513874753	48.0	150.0	150	18.181818181818183	459075.0
M301650.lib1_2	72.20633103024747	49.0	150.0	150	27.27272727272727	459075.0
M301651.lib1_1	80.31573264679616	40.0	150.0	150	9.090909090909092	12192332.0
M301651.lib1_2	81.09139110713654	41.0	150.0	150	18.181818181818183	12192332.0
M301652.lib1_1	76.46945059023504	47.0	150.0	150	18.181818181818183	653736.0
M301652.lib1_2	76.80459492093534	49.0	150.0	150	27.27272727272727	653736.0
M301653.lib1_1	79.29850305621092	47.0	150.0	150	18.181818181818183	722342.0
M301653.lib1_2	79.52687866594587	48.0	150.0	150	27.27272727272727	722342.0
M301654.lib1_1	76.02569899610549	47.0	150.0	150	18.181818181818183	573367.0
M301654.lib1_2	76.36054704057386	48.0	150.0	150	27.27272727272727	573367.0
M301655.lib1_1	78.35347761917119	47.0	150.0	150	27.27272727272727	579588.0
M301655.lib1_2	78.42822819173844	49.0	150.0	150	27.27272727272727	579588.0
M301656.lib1_1	73.14306586206969	47.0	150.0	150	18.181818181818183	508767.0
M301656.lib1_2	73.6182144630888	48.0	150.0	150	27.27272727272727	508767.0
M301657.lib1_1	83.56494330437533	48.0	150.0	150	18.181818181818183	1471371.0
M301657.lib1_2	83.47580174210127	49.0	150.0	150	27.27272727272727	1471371.0
M301658.lib1_1	51.94167445218759	50.0	150.0	150	27.27272727272727	345547.0
M301658.lib1_2	52.77893171506545	51.0	150.0	150	36.36363636363637	345547.0
M301659.lib1_1	61.96184076970272	47.0	150.0	150	18.181818181818183	620544.0
M301659.lib1_2	62.91739113523335	49.0	150.0	150	27.27272727272727	620544.0
M301660.lib1_1	69.23573910736145	50.0	150.0	150	36.36363636363637	448312.0
M301660.lib1_2	69.86413127746529	51.0	150.0	150	45.45454545454545	448312.0
M301661.lib1_1	73.53992613787324	48.0	150.0	150	18.181818181818183	576530.0
M301661.lib1_2	74.05770619449362	49.0	150.0	150	27.27272727272727	576530.0
M301663.lib1_1	79.93912899120137	48.0	150.0	150	18.181818181818183	361420.0
M301663.lib1_2	80.53926180067512	49.0	150.0	150	27.27272727272727	361420.0
M301664.lib1_1	82.5109599573425	50.0	150.0	150	18.181818181818183	1492721.0
M301664.lib1_2	82.7751976146694	50.0	150.0	150	18.181818181818183	1492721.0
